                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                 1.7346,                0.95468,                 4.7295,                 1.2062,              0.0088889,                0.25397,              0.0064964,              0.0033824,               0.010556,                0.30159,              0.0076932,               0.002962,                 1.5841,                0.86397,                 3.4372,                 1.2565,                 0.0964,                 0.0004,                 0.0004
                      1,                 1.6056,                 1.1223,                 4.1912,                   1.22,                 0.4144,                0.11111,                0.13621,               0.063197,               0.032017,                0.42857,                0.10182,               0.039639,                 1.5862,                0.83951,                 2.9672,                 1.2601,               0.091882,             0.00088218,             0.00088218
                      2,                 1.6764,                 1.0407,                 3.9688,                 1.3755,                0.46213,                0.11111,                0.13487,                 0.0608,               0.023889,                0.68254,               0.099737,               0.037871,                 1.5953,                0.83348,                 3.0002,                 1.2659,               0.087345,              0.0013446,              0.0013446
                      3,                 1.4284,                0.90308,                 3.7148,                 1.2399,                0.67463,                0.53968,                0.63878,                0.32435,                 0.6903,                0.60317,                0.62543,                 0.2951,                 1.5861,                0.79291,                 1.7016,                 1.2339,               0.082787,              0.0017871,              0.0017871
                      4,                 1.6977,                0.92942,                  2.791,                 1.2001,                0.86017,                0.68352,                0.77486,                0.42735,                0.81723,                0.69841,                0.76771,                0.39354,                 1.5129,                0.75915,                 2.1083,                 1.1852,                0.07821,              0.0022099,              0.0022099
                      5,                 1.4246,                0.67816,                 1.8674,                 1.0696,                0.83574,                0.77778,                0.80316,                0.45073,                0.83574,                0.77778,                0.80514,                0.41201,                 1.5186,                0.75514,                 1.2471,                 1.2082,               0.073613,              0.0026129,              0.0026129
                      6,                 1.4557,                0.72282,                 1.5962,                 1.0511,                0.91816,                0.55556,                0.75154,                0.41731,                0.86883,                0.52575,                0.71433,                0.38791,                 1.5317,                0.74437,                 1.6615,                 1.2329,               0.068996,              0.0029961,              0.0029961
                      7,                 1.5858,                0.75005,                 2.0873,                 1.1937,                0.91816,                0.55556,                0.75154,                0.41731,                0.86883,                0.52575,                0.71433,                0.38791,                 1.5317,                0.74437,                 1.6615,                 1.2329,               0.064359,              0.0033595,              0.0033595
                      8,                 1.4258,                0.63302,                 2.0237,                 1.1998,                0.79187,                0.80952,                0.87511,                0.47135,                  0.776,                0.79365,                0.83259,                0.42899,                 1.5339,                0.71538,                 1.4998,                 1.2146,               0.059703,               0.003703,               0.003703
                      9,                 1.4298,                0.60121,                 2.1349,                 1.1455,                      1,                0.25828,                0.65624,                0.39525,                 0.9385,                0.24241,                0.64743,                0.36479,                 1.6136,                0.73099,                  2.193,                 1.2398,               0.055027,              0.0040268,              0.0040268
                     10,                 1.4582,                0.80993,                 2.4566,                   1.12,                      1,                0.25828,                0.65624,                0.39525,                 0.9385,                0.24241,                0.64743,                0.36479,                 1.6136,                0.73099,                  2.193,                 1.2398,               0.050331,              0.0043308,              0.0043308
                     11,                 1.3358,                0.69227,                 2.2097,                  1.099,                0.88428,                0.84912,                0.91755,                0.49945,                0.86794,                0.83467,                 0.9063,                0.47063,                 1.6306,                0.70028,                 1.4989,                 1.2445,               0.045615,               0.004615,               0.004615
                     12,                 1.3369,                0.59429,                 1.8522,                 1.1078,                0.88428,                0.84912,                0.91755,                0.49945,                0.86794,                0.83467,                 0.9063,                0.47063,                 1.6306,                0.70028,                 1.4989,                 1.2445,               0.040879,              0.0048794,              0.0048794
                     13,                 1.4127,                0.61342,                 1.6066,                 1.0283,                0.88428,                0.84912,                0.91755,                0.49945,                0.86794,                0.83467,                 0.9063,                0.47063,                 1.6306,                0.70028,                 1.4989,                 1.2445,               0.036124,              0.0051239,              0.0051239
                     14,                 1.6544,                  0.667,                 1.7689,                 1.0046,                0.86103,                0.68848,                0.83827,                 0.4744,                0.88088,                0.70436,                0.85979,                0.42472,                 1.5468,                0.73338,                 1.2747,                 1.2232,               0.031349,              0.0053487,              0.0053487
                     15,                 1.4051,                0.55735,                  1.709,                 1.0964,                0.86103,                0.68848,                0.83827,                 0.4744,                0.88088,                0.70436,                0.85979,                0.42472,                 1.5468,                0.73338,                 1.2747,                 1.2232,               0.026554,              0.0055537,              0.0055537
                     16,                 1.5932,                0.81713,                 1.9548,                 1.1292,                0.86103,                0.68848,                0.83827,                 0.4744,                0.88088,                0.70436,                0.85979,                0.42472,                 1.5468,                0.73338,                 1.2747,                 1.2232,               0.021739,              0.0057389,              0.0057389
                     17,                 1.3189,                0.58979,                 1.6208,                0.97214,                0.86442,                0.80959,                0.90425,                0.50742,                0.84747,                0.79372,                0.88805,                0.47702,                 1.5491,                0.69353,                 1.5625,                 1.1882,               0.016904,              0.0059043,              0.0059043
                     18,                 1.3307,                0.63876,                 1.7829,                0.99808,                0.86442,                0.80959,                0.90425,                0.50742,                0.84747,                0.79372,                0.88805,                0.47702,                 1.5491,                0.69353,                 1.5625,                 1.1882,                0.01205,              0.0060498,              0.0060498
                     19,                 1.4028,                0.68692,                 2.3727,                 1.0985,                0.86442,                0.80959,                0.90425,                0.50742,                0.84747,                0.79372,                0.88805,                0.47702,                 1.5491,                0.69353,                 1.5625,                 1.1882,              0.0071756,              0.0061756,              0.0061756
                     20,                  1.299,                0.62098,                 1.4475,                0.99686,                0.84593,                0.71429,                  0.787,                0.44926,                0.84593,                0.71429,                0.78798,                0.42029,                  1.488,                0.70426,                 1.2076,                 1.1451,                0.00604,                0.00604,                0.00604
                     21,                 1.3717,                0.58711,                 1.4048,                 1.0201,                0.84593,                0.71429,                  0.787,                0.44926,                0.84593,                0.71429,                0.78798,                0.42029,                  1.488,                0.70426,                 1.2076,                 1.1451,                0.00604,                0.00604,                0.00604
                     22,                 1.5794,                0.77684,                 1.7193,                 1.0955,                0.84593,                0.71429,                  0.787,                0.44926,                0.84593,                0.71429,                0.78798,                0.42029,                  1.488,                0.70426,                 1.2076,                 1.1451,               0.005842,               0.005842,               0.005842
                     23,                 1.4787,                0.67006,                 1.6459,                 1.1465,                0.78858,                0.80952,                0.83766,                0.48451,                0.78858,                0.80952,                0.83722,                0.43593,                 1.4715,                0.70681,                 1.1332,                 1.1566,               0.005644,               0.005644,               0.005644
                     24,                 1.2989,                0.62954,                 1.1949,                 1.0617,                0.78858,                0.80952,                0.83766,                0.48451,                0.78858,                0.80952,                0.83722,                0.43593,                 1.4715,                0.70681,                 1.1332,                 1.1566,               0.005446,               0.005446,               0.005446
                     25,                 1.4498,                0.47761,                 1.4653,                 1.0583,                0.78858,                0.80952,                0.83766,                0.48451,                0.78858,                0.80952,                0.83722,                0.43593,                 1.4715,                0.70681,                 1.1332,                 1.1566,               0.005248,               0.005248,               0.005248
                     26,                 1.4149,                0.77596,                 1.5384,                 1.1185,                0.78669,                0.70251,                 0.8114,                0.46647,                0.76525,                0.69841,                0.78206,                0.41002,                 1.4912,                0.70645,                 1.2803,                  1.172,                0.00505,                0.00505,                0.00505
                     27,                 1.3649,                0.63037,                 1.4137,                 1.0653,                0.78669,                0.70251,                 0.8114,                0.46647,                0.76525,                0.69841,                0.78206,                0.41002,                 1.4912,                0.70645,                 1.2803,                  1.172,               0.004852,               0.004852,               0.004852
                     28,                 1.2565,                0.58543,                 1.5029,                0.95469,                0.78669,                0.70251,                 0.8114,                0.46647,                0.76525,                0.69841,                0.78206,                0.41002,                 1.4912,                0.70645,                 1.2803,                  1.172,               0.004654,               0.004654,               0.004654
                     29,                 1.4124,                0.60891,                 1.5007,                 0.9602,                0.89566,                0.68254,                0.82127,                0.48492,                0.87412,                0.66667,                0.80944,                0.42407,                 1.4376,                0.74479,                0.93421,                 1.1732,               0.004456,               0.004456,               0.004456
                     30,                 1.2302,                0.50326,                0.90303,                 0.9642,                0.89566,                0.68254,                0.82127,                0.48492,                0.87412,                0.66667,                0.80944,                0.42407,                 1.4376,                0.74479,                0.93421,                 1.1732,               0.004258,               0.004258,               0.004258
                     31,                 1.3169,                0.60579,                  1.079,                0.99417,                0.89566,                0.68254,                0.82127,                0.48492,                0.87412,                0.66667,                0.80944,                0.42407,                 1.4376,                0.74479,                0.93421,                 1.1732,                0.00406,                0.00406,                0.00406
                     32,                 1.3331,                0.61547,                 1.0967,                 1.0035,                0.89566,                0.68254,                0.82127,                0.48492,                0.87412,                0.66667,                0.80944,                0.42407,                 1.4376,                0.74479,                0.93421,                 1.1732,               0.003862,               0.003862,               0.003862
                     33,                 1.3596,                 0.5911,                0.94227,                 1.0088,                0.87739,                0.68254,                0.80543,                0.49267,                0.89842,                0.69841,                0.82716,                0.42434,                 1.4238,                0.71952,                0.88946,                 1.1527,               0.003664,               0.003664,               0.003664
                     34,                 1.2968,                0.50492,                0.87911,                 1.0578,                0.87739,                0.68254,                0.80543,                0.49267,                0.89842,                0.69841,                0.82716,                0.42434,                 1.4238,                0.71952,                0.88946,                 1.1527,               0.003466,               0.003466,               0.003466
                     35,                 1.3645,                0.76072,                 1.0234,                 1.0511,                0.87739,                0.68254,                0.80543,                0.49267,                0.89842,                0.69841,                0.82716,                0.42434,                 1.4238,                0.71952,                0.88946,                 1.1527,               0.003268,               0.003268,               0.003268
                     36,                 1.5669,                0.57113,                 1.9191,                0.98729,                0.83243,                 0.7619,                0.86429,                0.51646,                 0.8507,                0.77778,                0.87617,                0.44865,                 1.4617,                0.69072,                 0.8303,                 1.1605,                0.00307,                0.00307,                0.00307
                     37,                 1.4796,                0.59675,                0.84933,                0.98134,                0.83243,                 0.7619,                0.86429,                0.51646,                 0.8507,                0.77778,                0.87617,                0.44865,                 1.4617,                0.69072,                 0.8303,                 1.1605,               0.002872,               0.002872,               0.002872
                     38,                 1.2551,                0.62332,                0.98333,                 1.0421,                0.83243,                 0.7619,                0.86429,                0.51646,                 0.8507,                0.77778,                0.87617,                0.44865,                 1.4617,                0.69072,                 0.8303,                 1.1605,               0.002674,               0.002674,               0.002674
                     39,                 1.3301,                0.57797,                0.88846,                 1.1111,                0.89453,                0.73016,                0.87323,                0.52576,                 0.9145,                0.74603,                0.86997,                 0.4689,                 1.4681,                0.69501,                0.83722,                 1.1717,               0.002476,               0.002476,               0.002476
                     40,                 1.4154,                0.56362,                  1.138,                 1.0755,                0.89453,                0.73016,                0.87323,                0.52576,                 0.9145,                0.74603,                0.86997,                 0.4689,                 1.4681,                0.69501,                0.83722,                 1.1717,               0.002278,               0.002278,               0.002278
                     41,                 1.4111,                0.70394,                0.97383,                 1.1848,                0.89453,                0.73016,                0.87323,                0.52576,                 0.9145,                0.74603,                0.86997,                 0.4689,                 1.4681,                0.69501,                0.83722,                 1.1717,                0.00208,                0.00208,                0.00208
                     42,                 1.7543,                0.94478,                  1.398,                 1.0462,                0.88391,                0.72521,                 0.8541,                0.50835,                0.90326,                0.74109,                0.83241,                0.44536,                 1.4321,                0.73816,                 1.0822,                 1.1724,               0.001882,               0.001882,               0.001882
                     43,                 1.5335,                 0.6475,                 1.2903,                 1.1529,                0.88391,                0.72521,                 0.8541,                0.50835,                0.90326,                0.74109,                0.83241,                0.44536,                 1.4321,                0.73816,                 1.0822,                 1.1724,               0.001684,               0.001684,               0.001684
                     44,                 1.2457,                0.67435,                  1.095,                 1.0622,                0.88391,                0.72521,                 0.8541,                0.50835,                0.90326,                0.74109,                0.83241,                0.44536,                 1.4321,                0.73816,                 1.0822,                 1.1724,               0.001486,               0.001486,               0.001486
                     45,                 1.3432,                0.96838,                 1.2496,                 1.0214,                0.86093,                0.74603,                0.87502,                0.50492,                0.88041,                0.74603,                0.83493,                0.44062,                 1.4415,                0.72751,                 1.0897,                 1.1676,               0.001288,               0.001288,               0.001288
                     46,                 1.3631,                0.58632,                 1.1836,                 1.1528,                0.86093,                0.74603,                0.87502,                0.50492,                0.88041,                0.74603,                0.83493,                0.44062,                 1.4415,                0.72751,                 1.0897,                 1.1676,                0.00109,                0.00109,                0.00109
                     47,                 1.3391,                0.63177,                 1.1062,                  1.092,                0.86093,                0.74603,                0.87502,                0.50492,                0.88041,                0.74603,                0.83493,                0.44062,                 1.4415,                0.72751,                 1.0897,                 1.1676,               0.000892,               0.000892,               0.000892
                     48,                 1.3385,                0.49279,                0.99593,                 1.2153,                0.86093,                0.74603,                0.87502,                0.50492,                0.88041,                0.74603,                0.83493,                0.44062,                 1.4415,                0.72751,                 1.0897,                 1.1676,               0.000694,               0.000694,               0.000694
                     49,                 1.5119,                0.67952,                 1.1699,                 1.2147,                0.87272,                0.74603,                0.86636,                0.51396,                0.89323,                 0.7619,                0.86278,                0.45585,                 1.4388,                0.71188,                0.99606,                 1.1629,               0.000496,               0.000496,               0.000496
                     50,                0.89707,                0.73016,                0.87301,                0.52538,                0.91712,                0.74603,                0.86956,                0.46872,                 1.4672,                0.69532,                0.83329,                 1.1718
